rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd,division,flight
8,Pride SC ECNL G08,Pride SC,35220,13,6,6,1,19,1.46,12,28,-16,G2008,ECNL
9,Portland Thorns ECNL G08,Portland Thorns FC,45859,13,2,5,6,12,0.92,13,22,-9,G2008,ECNL
10,Seattle United ECNL G08,Seattle United,39162,13,3,8,2,11,0.85,11,21,-10,G2008,ECNL
11,Utah Avalanche ECNL G08,Utah Avalanche,46754,13,2,9,2,8,0.62,15,36,-21,G2008,ECNL
12,PacNW SC ECNL G08,PacNW,35172,13,2,10,1,7,0.54,14,47,-33,G2008,ECNL
13,Boise Thorns FC ECNL G08,Boise Timbers | Thorns,46756,13,1,10,2,5,0.38,9,37,-28,G2008,ECNL
14,Northwest Elite FC ECNL G08,Oregon Surf SC,66436,13,1,11,1,4,0.31,10,40,-30,G2008,ECNL
1,Real Colorado National ECNL G09,Real Colorado,58631,13,12,0,1,37,2.85,47,7,40,G2009,ECNL
2,Crossfire Premier ECNL G09,Crossfire Premier,60436,13,10,1,2,32,2.46,32,8,24,G2009,ECNL
3,Seattle United ECNL G09,Seattle United,56728,13,10,1,2,32,2.46,34,12,22,G2009,ECNL
4,Portland Thorns ECNL G09,Portland Thorns FC,59582,13,9,2,2,29,2.23,34,18,16,G2009,ECNL
5,Utah Avalanche ECNL G09,Utah Avalanche,58149,13,8,5,0,24,1.85,30,22,8,G2009,ECNL
6,Colorado Rapids ECNL G09,Colorado Storm,59850,13,5,5,3,18,1.38,16,30,-14,G2009,ECNL
7,Northwest Elite FC ECNL G09,Oregon Surf SC,66437,13,4,6,3,15,1.15,26,29,-3,G2009,ECNL
8,Washington Premier ECNL G09,Washington Premier FC,54576,13,4,6,3,15,1.15,23,25,-2,G2009,ECNL
9,Eastside FC ECNL G09,Eastside FC (WA),59855,13,3,6,4,13,1.0,10,21,-11,G2009,ECNL
10,Boise Thorns FC ECNL G09,Boise Timbers | Thorns,59556,13,3,7,3,12,0.92,19,26,-7,G2009,ECNL
11,PacNW SC ECNL G09,PacNW,46755,13,3,9,1,10,0.77,15,28,-13,G2009,ECNL
12,Pride SC ECNL G09,Pride SC,48226,13,3,9,1,10,0.77,15,28,-13,G2009,ECNL
13,Real Colorado Athletico ECNL G09,Real Colorado,58634,13,1,8,4,7,0.54,8,29,-21,G2009,ECNL
14,La Roca FC ECNL G09,La Roca FC,45847,13,1,11,1,4,0.31,9,35,-26,G2009,ECNL
1,Boise Thorns FC ECNL G10,Boise Timbers | Thorns,69320,13,7,4,2,23,1.77,23,20,3,G2010,ECNL
